group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,From-Botnet-V51-8-ICMP,xgboost_gru,78,78,0,1.0,0.0
attack_type,From-Botnet-V51-1-ICMP,gru,75,73,2,0.9733333333333334,0.02666666666666667
attack_type,From-Botnet-V51-1-ICMP,xgboost,75,74,1,0.9866666666666667,0.013333333333333334
attack_type,From-Botnet-V51-1-ICMP,xgboost_gru,75,75,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Attempt-SPAM,gru,46,45,1,0.9782608695652174,0.021739130434782608
attack_type,From-Botnet-V50-1-TCP-Attempt-SPAM,xgboost,46,46,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Attempt-SPAM,xgboost_gru,46,46,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Attempt-SPAM,gru,44,44,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Attempt-SPAM,xgboost,44,44,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Attempt-SPAM,xgboost_gru,44,44,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-HTTP-Persistent-Down-1,gru,39,30,9,0.7692307692307693,0.23076923076923078
attack_type,From-Botnet-V43-TCP-HTTP-Persistent-Down-1,xgboost,39,32,7,0.8205128205128205,0.1794871794871795
attack_type,From-Botnet-V43-TCP-HTTP-Persistent-Down-1,xgboost_gru,39,32,7,0.8205128205128205,0.1794871794871795
attack_type,From-Botnet-V50-9-TCP-Attempt-SPAM,gru,37,37,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-Attempt-SPAM,xgboost,37,36,1,0.972972972972973,0.02702702702702703
attack_type,From-Botnet-V50-9-TCP-Attempt-SPAM,xgboost_gru,37,37,0,1.0,0.0
attack_type,From-Botnet-V43-UDP-DNS,gru,30,29,1,0.9666666666666667,0.03333333333333333
attack_type,From-Botnet-V43-UDP-DNS,xgboost,30,20,10,0.6666666666666666,0.3333333333333333
attack_type,From-Botnet-V43-UDP-DNS,xgboost_gru,30,30,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Attempt,gru,27,27,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Attempt,xgboost,27,25,2,0.9259259259259259,0.07407407407407407
attack_type,From-Botnet-V50-1-TCP-Attempt,xgboost_gru,27,27,0,1.0,0.0
attack_type,From-Botnet-V51-3-UDP-Established,gru,22,19,3,0.8636363636363636,0.13636363636363635
attack_type,From-Botnet-V51-3-UDP-Established,xgboost,22,17,5,0.7727272727272727,0.22727272727272727
attack_type,From-Botnet-V51-3-UDP-Established,xgboost_gru,22,20,2,0.9090909090909091,0.09090909090909091
attack_type,From-Botnet-V51-3-UDP-Attempt,gru,21,17,4,0.8095238095238095,0.19047619047619047
attack_type,From-Botnet-V51-3-UDP-Attempt,xgboost,21,18,3,0.8571428571428571,0.14285714285714285
attack_type,From-Botnet-V51-3-UDP-Attempt,xgboost_gru,21,19,2,0.9047619047619048,0.09523809523809523
attack_type,From-Botnet-V44-TCP-Established,gru,20,20,0,1.0,0.0
attack_type,From-Botnet-V44-TCP-Established,xgboost,20,20,0,1.0,0.0
attack_type,From-Botnet-V44-TCP-Established,xgboost_gru,20,20,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Not-Encrypted-SMTP-Private-Proxy-1,gru,19,19,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Not-Encrypted-SMTP-Private-Proxy-1,xgboost,19,19,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Not-Encrypted-SMTP-Private-Proxy-1,xgboost_gru,19,19,0,1.0,0.0
attack_type,unknown_scan,gru,17,1,16,0.058823529411764705,0.9411764705882353
attack_type,unknown_scan,xgboost,17,0,17,0.0,1.0
attack_type,unknown_scan,xgboost_gru,17,1,16,0.058823529411764705,0.9411764705882353
attack_type,From-Botnet-V51-3-TCP-WEB-Established,gru,14,14,0,1.0,0.0
attack_type,From-Botnet-V51-3-TCP-WEB-Established,xgboost,14,4,10,0.2857142857142857,0.7142857142857143
attack_type,From-Botnet-V51-3-TCP-WEB-Established,xgboost_gru,14,12,2,0.8571428571428571,0.14285714285714285
attack_type,From-Botnet-V51-1-UDP-Attempt,gru,11,11,0,1.0,0.0
attack_type,From-Botnet-V51-1-UDP-Attempt,xgboost,11,11,0,1.0,0.0
attack_type,From-Botnet-V51-1-UDP-Attempt,xgboost_gru,11,11,0,1.0,0.0
attack_type,From-Botnet-V51-8-UDP-Attempt,gru,11,11,0,1.0,0.0
attack_type,From-Botnet-V51-8-UDP-Attempt,xgboost,11,11,0,1.0,0.0
attack_type,From-Botnet-V51-8-UDP-Attempt,xgboost_gru,11,11,0,1.0,0.0
attack_type,From-Botnet-V51-9-UDP-Attempt,gru,10,10,0,1.0,0.0
attack_type,From-Botnet-V51-9-UDP-Attempt,xgboost,10,10,0,1.0,0.0
attack_type,From-Botnet-V51-9-UDP-Attempt,xgboost_gru,10,10,0,1.0,0.0
attack_type,From-Botnet-V51-2-UDP-Attempt,gru,9,9,0,1.0,0.0
attack_type,From-Botnet-V51-2-UDP-Attempt,xgboost,9,9,0,1.0,0.0
attack_type,From-Botnet-V51-2-UDP-Attempt,xgboost_gru,9,9,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Not-Encrypted-SMTP-Private-Proxy-1,gru,9,9,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Not-Encrypted-SMTP-Private-Proxy-1,xgboost,9,9,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Not-Encrypted-SMTP-Private-Proxy-1,xgboost_gru,9,9,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-CC16-HTTP-Not-Encrypted,gru,8,8,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-CC16-HTTP-Not-Encrypted,xgboost,8,7,1,0.875,0.125
attack_type,From-Botnet-V43-TCP-CC16-HTTP-Not-Encrypted,xgboost_gru,8,8,0,1.0,0.0
attack_type,From-Botnet-V51-3-UDP-DNS,gru,8,6,2,0.75,0.25
attack_type,From-Botnet-V51-3-UDP-DNS,xgboost,8,2,6,0.25,0.75
attack_type,From-Botnet-V51-3-UDP-DNS,xgboost_gru,8,8,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-WEB-Established,gru,8,7,1,0.875,0.125
attack_type,From-Botnet-V54-TCP-WEB-Established,xgboost,8,1,7,0.125,0.875
attack_type,From-Botnet-V54-TCP-WEB-Established,xgboost_gru,8,5,3,0.625,0.375
attack_type,From-Botnet-V51-1-UDP-DNS,gru,7,4,3,0.5714285714285714,0.42857142857142855
attack_type,From-Botnet-V51-1-UDP-DNS,xgboost,7,2,5,0.2857142857142857,0.7142857142857143
attack_type,From-Botnet-V51-1-UDP-DNS,xgboost_gru,7,5,2,0.7142857142857143,0.2857142857142857
attack_type,From-Botnet-V43-TCP-WEB-Established,gru,5,5,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-WEB-Established,xgboost,5,4,1,0.8,0.2
attack_type,From-Botnet-V43-TCP-WEB-Established,xgboost_gru,5,5,0,1.0,0.0
attack_type,From-Botnet-V51-8-UDP-DNS,gru,5,5,0,1.0,0.0
attack_type,From-Botnet-V51-8-UDP-DNS,xgboost,5,3,2,0.6,0.4
attack_type,From-Botnet-V51-8-UDP-DNS,xgboost_gru,5,5,0,1.0,0.0
attack_type,From-Botnet-V48-TCP-CC77-HTTP-Not-Encrypted,gru,4,0,4,0.0,1.0
attack_type,From-Botnet-V48-TCP-CC77-HTTP-Not-Encrypted,xgboost,4,0,4,0.0,1.0
attack_type,From-Botnet-V48-TCP-CC77-HTTP-Not-Encrypted,xgboost_gru,4,0,4,0.0,1.0
attack_type,From-Botnet-V50-5-TCP-Not-Encrypted-SMTP-Private-Proxy-3,gru,4,4,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Not-Encrypted-SMTP-Private-Proxy-3,xgboost,4,4,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Not-Encrypted-SMTP-Private-Proxy-3,xgboost_gru,4,4,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC16-HTTP-Not-Encrypted,gru,4,1,3,0.25,0.75
